TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
GSynergy_Lakehouse,dbo,dim_fscl_date_staged,fscldt_id,1,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_date_staged,fscldt_label,2,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_date_staged,fscldow,3,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_date_staged,fscldom,4,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_date_staged,fscldoq,5,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_date_staged,fscldoy,6,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_quarter_staged,fsclqrtr_id,1,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_quarter_staged,fsclqrtr_label,2,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_quarter_staged,fsclqoy,3,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_quarter_staged,fscldt_id,4,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_year_staged,fsclyr_id,1,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_year_staged,fsclyr_label,2,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_year_staged,fscldt_id,3,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_month_staged,fsclmth_id,1,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_month_staged,fsclmth_label,2,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_month_staged,fsclmoy,3,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_month_staged,fscldt_id,4,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,order_id,1,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,line_id,2,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,sku_id,3,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,pos_site_id,4,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,fscldt_id,5,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,price_substate_id,6,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,sales_units,7,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,sales_dollars,8,NULL,YES,real,NULL,NULL,24,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,discount_dollars,9,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,fact_staged,type,10,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_week_staged,fscldt_id,1,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_week_staged,fsclwk_id,2,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_week_staged,fsclwk_label,3,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,dbo,dim_fscl_week_staged,fsclwoy,4,NULL,YES,varchar,8000,8000,NULL,NULL,NULL,NULL,NULL,NULL,utf8,NULL,NULL,Latin1_General_100_BIN2_UTF8,NULL,NULL,NULL
GSynergy_Lakehouse,sys,sys_dw_manifest_files,table_id,1,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,sys,sys_dw_manifest_files,commit_sequence_id,2,NULL,NO,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,sys,sys_dw_manifest_files,file_id,3,NULL,NO,uniqueidentifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,sys,sys_dw_manifest_files,xdes_ts,4,NULL,NO,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,sys,sys_dw_manifest_files,append_only,5,NULL,NO,bit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,sys,sys_dw_manifest_files,rows_inserted,6,NULL,NO,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,sys,sys_dw_manifest_files,commit_timestamp,7,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GSynergy_Lakehouse,sys,sys_dw_manifest_files,source_table_guid,8,NULL,NO,uniqueidentifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
